file,max_depth,multithreading,elapsed_time,terminal_calls,cache_hits,cache_misses,pruned_nodes
anneal,4,leaf,1,1127,115,3433,0
anneal,4,none,1,812,73,2360,0
anneal,5,leaf,105,27392,82914,572911,246
anneal,5,none,6,18287,19776,75086,218
diabetes,4,leaf,2,4432,613,11504,0
diabetes,4,none,2,4411,562,9138,0
diabetes,5,leaf,238,179604,624795,1610588,616
diabetes,5,none,71,176260,365107,498902,1776
heart-cleveland,4,leaf,1,2370,282,6449,4
heart-cleveland,4,none,1,2247,231,5148,1
heart-cleveland,5,leaf,111,90974,125710,853270,1205
heart-cleveland,5,none,17,84879,83333,256523,969
hepatitis,4,leaf,1,812,48,2106,15
hepatitis,4,none,1,697,33,1608,4
hepatitis,5,leaf,2,3702,3437,21106,134
hepatitis,5,none,1,3542,2416,9141,37
kr-vs-kp,4,leaf,1,1035,61,2796,4
kr-vs-kp,4,none,1,1000,36,2470,1
kr-vs-kp,5,leaf,132,15893,19092,371014,201
kr-vs-kp,5,none,10,14334,6080,53680,51
mushroom,4,leaf,1,545,6,1485,13
mushroom,4,none,1,441,4,1206,5
mushroom,5,leaf,2,2009,242,6777,28
mushroom,5,none,3,2002,236,6303,10
pendigits,4,leaf,32,7971,278,21474,20
pendigits,4,none,51,7467,277,18147,5
pendigits,5,leaf,600,-1,-1,-1,-1
pendigits,5,none,601,-1,-1,-1,-1
anneal,4,root,1,869,88,2544,1
anneal,5,root,4,20588,20990,87808,190
diabetes,4,root,1,4529,510,9527,0
diabetes,5,root,35,177010,356276,558730,1778
heart-cleveland,4,root,1,2497,201,5721,2
heart-cleveland,5,root,9,91808,90755,294381,1155
hepatitis,4,root,1,795,26,1818,5
hepatitis,5,root,1,4722,2840,11595,34
kr-vs-kp,4,root,1,993,40,2474,3
kr-vs-kp,5,root,5,15834,6693,59548,57
mushroom,4,root,1,238,1,616,8
mushroom,5,root,4,5771,621,18761,39
pendigits,4,root,19,6586,284,16585,9
pendigits,5,root,322,137341,38893,377413,305
