run,path,program,task,file,max_depth,max_num_nodes,status,elapsed_time,output
1,pydl8.5/core/build,./dl85,accuracy,anneal,5,,Success,4.220541,"(nFeats, nTransactions) : ( 93, 812 )
Class Distribution: 0:187, 1:625
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 4, ""left"": {""feat"": 60, ""left"": {""feat"": 12, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 11}}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 88, ""left"": {""feat"": 78, ""left"": {""value"": 1, ""error"": 26}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 62, ""left"": {""value"": 0, ""error"": 1}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 5, ""left"": {""feat"": 50, ""left"": {""feat"": 34, ""left"": {""value"": 1, ""error"": 22}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 30, ""left"": {""value"": 1, ""error"": 29}, ""right"": {""value"": 0, ""error"": 0}}}, ""right"": {""feat"": 11, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 2}}, ""right"": {""feat"": 42, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 0}}}}}
Size: 29
Depth: 4
Error: 91
Accuracy: 0.887931
CacheSize: 10086
RunTime: 4.189873
Timeout: False"
2,pydl8.5/core/build,./dl85,accuracy,anneal,5,,Success,5.213197708,"(nFeats, nTransactions) : ( 93, 812 )
Class Distribution: 0:187, 1:625
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 4, ""left"": {""feat"": 60, ""left"": {""feat"": 12, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 11}}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 88, ""left"": {""feat"": 78, ""left"": {""value"": 1, ""error"": 26}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 62, ""left"": {""value"": 0, ""error"": 1}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 5, ""left"": {""feat"": 50, ""left"": {""feat"": 34, ""left"": {""value"": 1, ""error"": 22}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 30, ""left"": {""value"": 1, ""error"": 29}, ""right"": {""value"": 0, ""error"": 0}}}, ""right"": {""feat"": 11, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 2}}, ""right"": {""feat"": 42, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 0}}}}}
Size: 29
Depth: 4
Error: 91
Accuracy: 0.887931
CacheSize: 10086
RunTime: 5.180264
Timeout: False"
3,pydl8.5/core/build,./dl85,accuracy,anneal,5,,Success,5.01550436,"(nFeats, nTransactions) : ( 93, 812 )
Class Distribution: 0:187, 1:625
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 4, ""left"": {""feat"": 60, ""left"": {""feat"": 12, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 11}}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 88, ""left"": {""feat"": 78, ""left"": {""value"": 1, ""error"": 26}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 62, ""left"": {""value"": 0, ""error"": 1}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 5, ""left"": {""feat"": 50, ""left"": {""feat"": 34, ""left"": {""value"": 1, ""error"": 22}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 30, ""left"": {""value"": 1, ""error"": 29}, ""right"": {""value"": 0, ""error"": 0}}}, ""right"": {""feat"": 11, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 2}}, ""right"": {""feat"": 42, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 0}}}}}
Size: 29
Depth: 4
Error: 91
Accuracy: 0.887931
CacheSize: 10086
RunTime: 4.979465
Timeout: False"
4,pydl8.5/core/build,./dl85,accuracy,anneal,5,,Success,4.153304338,"(nFeats, nTransactions) : ( 93, 812 )
Class Distribution: 0:187, 1:625
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 4, ""left"": {""feat"": 60, ""left"": {""feat"": 12, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 11}}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 88, ""left"": {""feat"": 78, ""left"": {""value"": 1, ""error"": 26}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 62, ""left"": {""value"": 0, ""error"": 1}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 5, ""left"": {""feat"": 50, ""left"": {""feat"": 34, ""left"": {""value"": 1, ""error"": 22}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 30, ""left"": {""value"": 1, ""error"": 29}, ""right"": {""value"": 0, ""error"": 0}}}, ""right"": {""feat"": 11, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 2}}, ""right"": {""feat"": 42, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 0}}}}}
Size: 29
Depth: 4
Error: 91
Accuracy: 0.887931
CacheSize: 10086
RunTime: 4.116688
Timeout: False"
5,pydl8.5/core/build,./dl85,accuracy,anneal,5,,Success,4.098522186,"(nFeats, nTransactions) : ( 93, 812 )
Class Distribution: 0:187, 1:625
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 4, ""left"": {""feat"": 60, ""left"": {""feat"": 12, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 11}}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 88, ""left"": {""feat"": 78, ""left"": {""value"": 1, ""error"": 26}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 62, ""left"": {""value"": 0, ""error"": 1}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 5, ""left"": {""feat"": 50, ""left"": {""feat"": 34, ""left"": {""value"": 1, ""error"": 22}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 30, ""left"": {""value"": 1, ""error"": 29}, ""right"": {""value"": 0, ""error"": 0}}}, ""right"": {""feat"": 11, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 2}}, ""right"": {""feat"": 42, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 0}}}}}
Size: 29
Depth: 4
Error: 91
Accuracy: 0.887931
CacheSize: 10086
RunTime: 4.066908
Timeout: False"
6,pydl8.5/core/build,./dl85,accuracy,anneal,5,,Success,4.108492136,"(nFeats, nTransactions) : ( 93, 812 )
Class Distribution: 0:187, 1:625
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 4, ""left"": {""feat"": 60, ""left"": {""feat"": 12, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 11}}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 88, ""left"": {""feat"": 78, ""left"": {""value"": 1, ""error"": 26}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 62, ""left"": {""value"": 0, ""error"": 1}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 5, ""left"": {""feat"": 50, ""left"": {""feat"": 34, ""left"": {""value"": 1, ""error"": 22}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 30, ""left"": {""value"": 1, ""error"": 29}, ""right"": {""value"": 0, ""error"": 0}}}, ""right"": {""feat"": 11, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 2}}, ""right"": {""feat"": 42, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 0}}}}}
Size: 29
Depth: 4
Error: 91
Accuracy: 0.887931
CacheSize: 10086
RunTime: 4.076864
Timeout: False"
7,pydl8.5/core/build,./dl85,accuracy,anneal,5,,Success,4.184849501,"(nFeats, nTransactions) : ( 93, 812 )
Class Distribution: 0:187, 1:625
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 4, ""left"": {""feat"": 60, ""left"": {""feat"": 12, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 11}}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 88, ""left"": {""feat"": 78, ""left"": {""value"": 1, ""error"": 26}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 62, ""left"": {""value"": 0, ""error"": 1}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 5, ""left"": {""feat"": 50, ""left"": {""feat"": 34, ""left"": {""value"": 1, ""error"": 22}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 30, ""left"": {""value"": 1, ""error"": 29}, ""right"": {""value"": 0, ""error"": 0}}}, ""right"": {""feat"": 11, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 2}}, ""right"": {""feat"": 42, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 0}}}}}
Size: 29
Depth: 4
Error: 91
Accuracy: 0.887931
CacheSize: 10086
RunTime: 4.148825
Timeout: False"
8,pydl8.5/core/build,./dl85,accuracy,anneal,5,,Success,4.124133825,"(nFeats, nTransactions) : ( 93, 812 )
Class Distribution: 0:187, 1:625
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 4, ""left"": {""feat"": 60, ""left"": {""feat"": 12, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 11}}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 88, ""left"": {""feat"": 78, ""left"": {""value"": 1, ""error"": 26}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 62, ""left"": {""value"": 0, ""error"": 1}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 5, ""left"": {""feat"": 50, ""left"": {""feat"": 34, ""left"": {""value"": 1, ""error"": 22}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 30, ""left"": {""value"": 1, ""error"": 29}, ""right"": {""value"": 0, ""error"": 0}}}, ""right"": {""feat"": 11, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 2}}, ""right"": {""feat"": 42, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 0}}}}}
Size: 29
Depth: 4
Error: 91
Accuracy: 0.887931
CacheSize: 10086
RunTime: 4.093318
Timeout: False"
9,pydl8.5/core/build,./dl85,accuracy,anneal,5,,Success,4.120265722,"(nFeats, nTransactions) : ( 93, 812 )
Class Distribution: 0:187, 1:625
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 4, ""left"": {""feat"": 60, ""left"": {""feat"": 12, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 11}}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 88, ""left"": {""feat"": 78, ""left"": {""value"": 1, ""error"": 26}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 62, ""left"": {""value"": 0, ""error"": 1}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 5, ""left"": {""feat"": 50, ""left"": {""feat"": 34, ""left"": {""value"": 1, ""error"": 22}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 30, ""left"": {""value"": 1, ""error"": 29}, ""right"": {""value"": 0, ""error"": 0}}}, ""right"": {""feat"": 11, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 2}}, ""right"": {""feat"": 42, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 0}}}}}
Size: 29
Depth: 4
Error: 91
Accuracy: 0.887931
CacheSize: 10086
RunTime: 4.086708
Timeout: False"
10,pydl8.5/core/build,./dl85,accuracy,anneal,5,,Success,4.11228776,"(nFeats, nTransactions) : ( 93, 812 )
Class Distribution: 0:187, 1:625
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 4, ""left"": {""feat"": 60, ""left"": {""feat"": 12, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 11}}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 88, ""left"": {""feat"": 78, ""left"": {""value"": 1, ""error"": 26}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 62, ""left"": {""value"": 0, ""error"": 1}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 5, ""left"": {""feat"": 50, ""left"": {""feat"": 34, ""left"": {""value"": 1, ""error"": 22}, ""right"": {""value"": 0, ""error"": 0}}, ""right"": {""feat"": 30, ""left"": {""value"": 1, ""error"": 29}, ""right"": {""value"": 0, ""error"": 0}}}, ""right"": {""feat"": 11, ""left"": {""feat"": 58, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 2}}, ""right"": {""feat"": 42, ""left"": {""value"": 1, ""error"": 0}, ""right"": {""value"": 0, ""error"": 0}}}}}
Size: 29
Depth: 4
Error: 91
Accuracy: 0.887931
CacheSize: 10086
RunTime: 4.082159
Timeout: False"
