run,path,program,task,file,max_depth,max_num_nodes,status,elapsed_time,output
1,murtree/LinuxRelease,./MurTree,accuracy,anneal,4,15,Success,0.270974159,"Main Parameters
	-file = anneal
	-time = 600
	-max-depth = 4
	-max-num-nodes = 15
	-sparse-coefficient = 0
	-verbose = 1
	-all-trees = 0
	-result-file = 
Algorithmic Parameters
	-incremental-frequency = 1
	-similarity-lower-bound = 1
	-node-selection = dynamic
	-feature-ordering = in-order
	-random-seed = 3
	-cache-type = dataset
	-duplicate-factor = 1
	-upper-bound = 2147483647
Tuning Parameters
	-hyper-parameter-tuning = 0
	-splits-location-prefix = 
	-hyper-parameter-stats-file = 
Optimal tree computation started!
Leaf value: 187
num nodes: 15 0s
Tree with 15 nodes: 91 misclassifications; time = 0
91
time: 0
Successfully terminated: 1
new Terminal time: 0.125529
Terminal calls: 799
	Terminal 1node: 0
	Terminal 2node: 0
	Terminal 3node: 799
Tree misclassification score has been verified!
Cache entries: 1489
MISCLASSIFICATION SCORE: 91
DEPTH: 4
NUM NODES: 14
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.161717"
2,murtree/LinuxRelease,./MurTree,accuracy,anneal,4,15,Success,0.215088844,"Main Parameters
	-file = anneal
	-time = 600
	-max-depth = 4
	-max-num-nodes = 15
	-sparse-coefficient = 0
	-verbose = 1
	-all-trees = 0
	-result-file = 
Algorithmic Parameters
	-incremental-frequency = 1
	-similarity-lower-bound = 1
	-node-selection = dynamic
	-feature-ordering = in-order
	-random-seed = 3
	-cache-type = dataset
	-duplicate-factor = 1
	-upper-bound = 2147483647
Tuning Parameters
	-hyper-parameter-tuning = 0
	-splits-location-prefix = 
	-hyper-parameter-stats-file = 
Optimal tree computation started!
Leaf value: 187
num nodes: 15 0s
Tree with 15 nodes: 91 misclassifications; time = 1
91
time: 1
Successfully terminated: 1
new Terminal time: 0.122585
Terminal calls: 799
	Terminal 1node: 0
	Terminal 2node: 0
	Terminal 3node: 799
Tree misclassification score has been verified!
Cache entries: 1489
MISCLASSIFICATION SCORE: 91
DEPTH: 4
NUM NODES: 14
TIME: 1 seconds
CLOCKS FOR SOLVE: 0.15627"
3,murtree/LinuxRelease,./MurTree,accuracy,anneal,4,15,Success,0.217041492,"Main Parameters
	-file = anneal
	-time = 600
	-max-depth = 4
	-max-num-nodes = 15
	-sparse-coefficient = 0
	-verbose = 1
	-all-trees = 0
	-result-file = 
Algorithmic Parameters
	-incremental-frequency = 1
	-similarity-lower-bound = 1
	-node-selection = dynamic
	-feature-ordering = in-order
	-random-seed = 3
	-cache-type = dataset
	-duplicate-factor = 1
	-upper-bound = 2147483647
Tuning Parameters
	-hyper-parameter-tuning = 0
	-splits-location-prefix = 
	-hyper-parameter-stats-file = 
Optimal tree computation started!
Leaf value: 187
num nodes: 15 0s
Tree with 15 nodes: 91 misclassifications; time = 0
91
time: 0
Successfully terminated: 1
new Terminal time: 0.118358
Terminal calls: 799
	Terminal 1node: 0
	Terminal 2node: 0
	Terminal 3node: 799
Tree misclassification score has been verified!
Cache entries: 1489
MISCLASSIFICATION SCORE: 91
DEPTH: 4
NUM NODES: 14
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.152609"
4,murtree/LinuxRelease,./MurTree,accuracy,anneal,4,15,Success,0.214188576,"Main Parameters
	-file = anneal
	-time = 600
	-max-depth = 4
	-max-num-nodes = 15
	-sparse-coefficient = 0
	-verbose = 1
	-all-trees = 0
	-result-file = 
Algorithmic Parameters
	-incremental-frequency = 1
	-similarity-lower-bound = 1
	-node-selection = dynamic
	-feature-ordering = in-order
	-random-seed = 3
	-cache-type = dataset
	-duplicate-factor = 1
	-upper-bound = 2147483647
Tuning Parameters
	-hyper-parameter-tuning = 0
	-splits-location-prefix = 
	-hyper-parameter-stats-file = 
Optimal tree computation started!
Leaf value: 187
num nodes: 15 0s
Tree with 15 nodes: 91 misclassifications; time = 0
91
time: 0
Successfully terminated: 1
new Terminal time: 0.118812
Terminal calls: 799
	Terminal 1node: 0
	Terminal 2node: 0
	Terminal 3node: 799
Tree misclassification score has been verified!
Cache entries: 1489
MISCLASSIFICATION SCORE: 91
DEPTH: 4
NUM NODES: 14
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.152788"
5,murtree/LinuxRelease,./MurTree,accuracy,anneal,4,15,Success,0.227929831,"Main Parameters
	-file = anneal
	-time = 600
	-max-depth = 4
	-max-num-nodes = 15
	-sparse-coefficient = 0
	-verbose = 1
	-all-trees = 0
	-result-file = 
Algorithmic Parameters
	-incremental-frequency = 1
	-similarity-lower-bound = 1
	-node-selection = dynamic
	-feature-ordering = in-order
	-random-seed = 3
	-cache-type = dataset
	-duplicate-factor = 1
	-upper-bound = 2147483647
Tuning Parameters
	-hyper-parameter-tuning = 0
	-splits-location-prefix = 
	-hyper-parameter-stats-file = 
Optimal tree computation started!
Leaf value: 187
num nodes: 15 0s
Tree with 15 nodes: 91 misclassifications; time = 0
91
time: 0
Successfully terminated: 1
new Terminal time: 0.131379
Terminal calls: 799
	Terminal 1node: 0
	Terminal 2node: 0
	Terminal 3node: 799
Tree misclassification score has been verified!
Cache entries: 1489
MISCLASSIFICATION SCORE: 91
DEPTH: 4
NUM NODES: 14
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.167427"
6,murtree/LinuxRelease,./MurTree,accuracy,anneal,4,15,Success,0.21868372,"Main Parameters
	-file = anneal
	-time = 600
	-max-depth = 4
	-max-num-nodes = 15
	-sparse-coefficient = 0
	-verbose = 1
	-all-trees = 0
	-result-file = 
Algorithmic Parameters
	-incremental-frequency = 1
	-similarity-lower-bound = 1
	-node-selection = dynamic
	-feature-ordering = in-order
	-random-seed = 3
	-cache-type = dataset
	-duplicate-factor = 1
	-upper-bound = 2147483647
Tuning Parameters
	-hyper-parameter-tuning = 0
	-splits-location-prefix = 
	-hyper-parameter-stats-file = 
Optimal tree computation started!
Leaf value: 187
num nodes: 15 0s
Tree with 15 nodes: 91 misclassifications; time = 0
91
time: 0
Successfully terminated: 1
new Terminal time: 0.122121
Terminal calls: 799
	Terminal 1node: 0
	Terminal 2node: 0
	Terminal 3node: 799
Tree misclassification score has been verified!
Cache entries: 1489
MISCLASSIFICATION SCORE: 91
DEPTH: 4
NUM NODES: 14
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.155594"
7,murtree/LinuxRelease,./MurTree,accuracy,anneal,4,15,Success,0.226011992,"Main Parameters
	-file = anneal
	-time = 600
	-max-depth = 4
	-max-num-nodes = 15
	-sparse-coefficient = 0
	-verbose = 1
	-all-trees = 0
	-result-file = 
Algorithmic Parameters
	-incremental-frequency = 1
	-similarity-lower-bound = 1
	-node-selection = dynamic
	-feature-ordering = in-order
	-random-seed = 3
	-cache-type = dataset
	-duplicate-factor = 1
	-upper-bound = 2147483647
Tuning Parameters
	-hyper-parameter-tuning = 0
	-splits-location-prefix = 
	-hyper-parameter-stats-file = 
Optimal tree computation started!
Leaf value: 187
num nodes: 15 0s
Tree with 15 nodes: 91 misclassifications; time = 1
91
time: 1
Successfully terminated: 1
new Terminal time: 0.125662
Terminal calls: 799
	Terminal 1node: 0
	Terminal 2node: 0
	Terminal 3node: 799
Tree misclassification score has been verified!
Cache entries: 1489
MISCLASSIFICATION SCORE: 91
DEPTH: 4
NUM NODES: 14
TIME: 1 seconds
CLOCKS FOR SOLVE: 0.159963"
8,murtree/LinuxRelease,./MurTree,accuracy,anneal,4,15,Success,0.243455172,"Main Parameters
	-file = anneal
	-time = 600
	-max-depth = 4
	-max-num-nodes = 15
	-sparse-coefficient = 0
	-verbose = 1
	-all-trees = 0
	-result-file = 
Algorithmic Parameters
	-incremental-frequency = 1
	-similarity-lower-bound = 1
	-node-selection = dynamic
	-feature-ordering = in-order
	-random-seed = 3
	-cache-type = dataset
	-duplicate-factor = 1
	-upper-bound = 2147483647
Tuning Parameters
	-hyper-parameter-tuning = 0
	-splits-location-prefix = 
	-hyper-parameter-stats-file = 
Optimal tree computation started!
Leaf value: 187
num nodes: 15 0s
Tree with 15 nodes: 91 misclassifications; time = 0
91
time: 0
Successfully terminated: 1
new Terminal time: 0.143041
Terminal calls: 799
	Terminal 1node: 0
	Terminal 2node: 0
	Terminal 3node: 799
Tree misclassification score has been verified!
Cache entries: 1489
MISCLASSIFICATION SCORE: 91
DEPTH: 4
NUM NODES: 14
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.180205"
9,murtree/LinuxRelease,./MurTree,accuracy,anneal,4,15,Success,0.223772049,"Main Parameters
	-file = anneal
	-time = 600
	-max-depth = 4
	-max-num-nodes = 15
	-sparse-coefficient = 0
	-verbose = 1
	-all-trees = 0
	-result-file = 
Algorithmic Parameters
	-incremental-frequency = 1
	-similarity-lower-bound = 1
	-node-selection = dynamic
	-feature-ordering = in-order
	-random-seed = 3
	-cache-type = dataset
	-duplicate-factor = 1
	-upper-bound = 2147483647
Tuning Parameters
	-hyper-parameter-tuning = 0
	-splits-location-prefix = 
	-hyper-parameter-stats-file = 
Optimal tree computation started!
Leaf value: 187
num nodes: 15 0s
Tree with 15 nodes: 91 misclassifications; time = 0
91
time: 0
Successfully terminated: 1
new Terminal time: 0.126599
Terminal calls: 799
	Terminal 1node: 0
	Terminal 2node: 0
	Terminal 3node: 799
Tree misclassification score has been verified!
Cache entries: 1489
MISCLASSIFICATION SCORE: 91
DEPTH: 4
NUM NODES: 14
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.161319"
10,murtree/LinuxRelease,./MurTree,accuracy,anneal,4,15,Success,0.231211185,"Main Parameters
	-file = anneal
	-time = 600
	-max-depth = 4
	-max-num-nodes = 15
	-sparse-coefficient = 0
	-verbose = 1
	-all-trees = 0
	-result-file = 
Algorithmic Parameters
	-incremental-frequency = 1
	-similarity-lower-bound = 1
	-node-selection = dynamic
	-feature-ordering = in-order
	-random-seed = 3
	-cache-type = dataset
	-duplicate-factor = 1
	-upper-bound = 2147483647
Tuning Parameters
	-hyper-parameter-tuning = 0
	-splits-location-prefix = 
	-hyper-parameter-stats-file = 
Optimal tree computation started!
Leaf value: 187
num nodes: 15 0s
Tree with 15 nodes: 91 misclassifications; time = 0
91
time: 0
Successfully terminated: 1
new Terminal time: 0.133487
Terminal calls: 799
	Terminal 1node: 0
	Terminal 2node: 0
	Terminal 3node: 799
Tree misclassification score has been verified!
Cache entries: 1489
MISCLASSIFICATION SCORE: 91
DEPTH: 4
NUM NODES: 14
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.169624"
