run,path,program,multithreading,task,file,max_depth,max_num_nodes,status,elapsed_time,output,terminal_calls,cache_hits,cache_misses,pruned_nodes
1,pystreed/build,./STreeD,root,accuracy,anneal,5,31,Success,0.771658897,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = anneal
	-test-file = 
	-time = 600
	-max-depth = 5
	-max-num-nodes = 31
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-multithreading = root
	-num-threads = 4
	-random-seed = 4
	-use-branch-caching = 0
	-use-dataset-caching = 1
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 1
	Terminal time: 5.65131
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.045762
	Reconstructing time: 0.000465
	Time joining children threads (computation included): 2.30999
Terminal calls: 9311
	Terminal 1 node: 9
	Terminal 2 node: 0
	Terminal 3 node: 9302
Cache statistics:
Cache optimal solution hits: 1431
Cache optimal solution misses: 30719
Pruned nodes: 14
TIME: 1 seconds
CLOCKS FOR SOLVE: 2.32983
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 5 	28 		0.9137931034482759 	0.9137931034482759 	5.955665024630542
Tree 0: [62,[5,[82,[88,[8,[1],[0]],[86,[0],[1]]],[50,[68,[0],[1]],[46,[0],[1]]]],[24,[50,[28,[0],[1]],[32,[0],[1]]],[64,[1],[74,[1],[0]]]]],[4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[12,[60,[0],[1]],[34,[0],[1]]]],[60,[78,[0],[88,[0],[1]]],[12,[1],[58,[0],[1]]]]]]

STreeD closed successfully!",9311,1431,30719,14
2,pystreed/build,./STreeD,root,accuracy,anneal,5,31,Success,0.823135376,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = anneal
	-test-file = 
	-time = 600
	-max-depth = 5
	-max-num-nodes = 31
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-multithreading = root
	-num-threads = 4
	-random-seed = 4
	-use-branch-caching = 0
	-use-dataset-caching = 1
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 1
	Terminal time: 5.98042
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.043739
	Reconstructing time: 0.000464
	Time joining children threads (computation included): 2.42033
Terminal calls: 9465
	Terminal 1 node: 9
	Terminal 2 node: 0
	Terminal 3 node: 9456
Cache statistics:
Cache optimal solution hits: 1488
Cache optimal solution misses: 30960
Pruned nodes: 17
TIME: 1 seconds
CLOCKS FOR SOLVE: 2.44541
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 5 	28 		0.9137931034482759 	0.9137931034482759 	5.955665024630542
Tree 0: [62,[5,[82,[88,[8,[1],[0]],[86,[0],[1]]],[50,[68,[0],[1]],[46,[0],[1]]]],[24,[50,[28,[0],[1]],[32,[0],[1]]],[64,[1],[74,[1],[0]]]]],[4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[12,[60,[0],[1]],[34,[0],[1]]]],[60,[78,[0],[88,[0],[1]]],[12,[1],[58,[0],[1]]]]]]

STreeD closed successfully!",9465,1488,30960,17
3,pystreed/build,./STreeD,root,accuracy,anneal,5,31,Success,0.828100443,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = anneal
	-test-file = 
	-time = 600
	-max-depth = 5
	-max-num-nodes = 31
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-multithreading = root
	-num-threads = 4
	-random-seed = 4
	-use-branch-caching = 0
	-use-dataset-caching = 1
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 1
	Terminal time: 5.72474
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.044828
	Reconstructing time: 0.000465
	Time joining children threads (computation included): 2.38295
Terminal calls: 9502
	Terminal 1 node: 9
	Terminal 2 node: 0
	Terminal 3 node: 9493
Cache statistics:
Cache optimal solution hits: 1476
Cache optimal solution misses: 30988
Pruned nodes: 18
TIME: 1 seconds
CLOCKS FOR SOLVE: 2.4078
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 5 	28 		0.9137931034482759 	0.9137931034482759 	5.955665024630542
Tree 0: [62,[5,[82,[88,[8,[1],[0]],[86,[0],[1]]],[50,[68,[0],[1]],[46,[0],[1]]]],[24,[50,[28,[0],[1]],[32,[0],[1]]],[64,[1],[74,[1],[0]]]]],[4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[12,[60,[0],[1]],[34,[0],[1]]]],[60,[78,[0],[88,[0],[1]]],[12,[1],[58,[0],[1]]]]]]

STreeD closed successfully!",9502,1476,30988,18
4,pystreed/build,./STreeD,root,accuracy,anneal,5,31,Success,0.842807055,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = anneal
	-test-file = 
	-time = 600
	-max-depth = 5
	-max-num-nodes = 31
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-multithreading = root
	-num-threads = 4
	-random-seed = 4
	-use-branch-caching = 0
	-use-dataset-caching = 1
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 1
	Terminal time: 5.93214
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.045634
	Reconstructing time: 0.000749
	Time joining children threads (computation included): 2.49704
Terminal calls: 9500
	Terminal 1 node: 9
	Terminal 2 node: 0
	Terminal 3 node: 9491
Cache statistics:
Cache optimal solution hits: 1465
Cache optimal solution misses: 31018
Pruned nodes: 14
TIME: 1 seconds
CLOCKS FOR SOLVE: 2.51438
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 5 	28 		0.9137931034482759 	0.9137931034482759 	5.955665024630542
Tree 0: [62,[5,[82,[88,[8,[1],[0]],[86,[0],[1]]],[50,[68,[0],[1]],[46,[0],[1]]]],[24,[50,[28,[0],[1]],[32,[0],[1]]],[64,[1],[74,[1],[0]]]]],[4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[12,[60,[0],[1]],[34,[0],[1]]]],[60,[78,[0],[88,[0],[1]]],[12,[1],[58,[0],[1]]]]]]

STreeD closed successfully!",9500,1465,31018,14
5,pystreed/build,./STreeD,root,accuracy,anneal,5,31,Success,0.960224628,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = anneal
	-test-file = 
	-time = 600
	-max-depth = 5
	-max-num-nodes = 31
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-multithreading = root
	-num-threads = 4
	-random-seed = 4
	-use-branch-caching = 0
	-use-dataset-caching = 1
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 1
	Terminal time: 6.42686
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.059031
	Reconstructing time: 0.000638
	Time joining children threads (computation included): 2.79198
Terminal calls: 9527
	Terminal 1 node: 9
	Terminal 2 node: 0
	Terminal 3 node: 9518
Cache statistics:
Cache optimal solution hits: 1461
Cache optimal solution misses: 31027
Pruned nodes: 16
TIME: 1 seconds
CLOCKS FOR SOLVE: 2.8206
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 5 	28 		0.9137931034482759 	0.9137931034482759 	5.955665024630542
Tree 0: [62,[5,[82,[88,[8,[1],[0]],[86,[0],[1]]],[50,[68,[0],[1]],[46,[0],[1]]]],[24,[50,[28,[0],[1]],[32,[0],[1]]],[64,[1],[74,[1],[0]]]]],[4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[12,[60,[0],[1]],[34,[0],[1]]]],[60,[78,[0],[88,[0],[1]]],[12,[1],[58,[0],[1]]]]]]

STreeD closed successfully!",9527,1461,31027,16
6,pystreed/build,./STreeD,root,accuracy,anneal,5,31,Success,0.817620754,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = anneal
	-test-file = 
	-time = 600
	-max-depth = 5
	-max-num-nodes = 31
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-multithreading = root
	-num-threads = 4
	-random-seed = 4
	-use-branch-caching = 0
	-use-dataset-caching = 1
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 0
	Terminal time: 5.86458
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.045697
	Reconstructing time: 0.000526
	Time joining children threads (computation included): 2.39892
Terminal calls: 9414
	Terminal 1 node: 9
	Terminal 2 node: 0
	Terminal 3 node: 9405
Cache statistics:
Cache optimal solution hits: 1477
Cache optimal solution misses: 30877
Pruned nodes: 16
TIME: 0 seconds
CLOCKS FOR SOLVE: 2.41975
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 5 	28 		0.9137931034482759 	0.9137931034482759 	5.955665024630542
Tree 0: [62,[5,[82,[88,[8,[1],[0]],[86,[0],[1]]],[50,[68,[0],[1]],[46,[0],[1]]]],[24,[50,[28,[0],[1]],[32,[0],[1]]],[64,[1],[74,[1],[0]]]]],[4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[12,[60,[0],[1]],[34,[0],[1]]]],[60,[78,[0],[88,[0],[1]]],[12,[1],[58,[0],[1]]]]]]

STreeD closed successfully!",9414,1477,30877,16
7,pystreed/build,./STreeD,root,accuracy,anneal,5,31,Success,0.784992218,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = anneal
	-test-file = 
	-time = 600
	-max-depth = 5
	-max-num-nodes = 31
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-multithreading = root
	-num-threads = 4
	-random-seed = 4
	-use-branch-caching = 0
	-use-dataset-caching = 1
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 0
	Terminal time: 5.57217
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.043188
	Reconstructing time: 0.000466
	Time joining children threads (computation included): 2.30315
Terminal calls: 9285
	Terminal 1 node: 9
	Terminal 2 node: 0
	Terminal 3 node: 9276
Cache statistics:
Cache optimal solution hits: 1449
Cache optimal solution misses: 30666
Pruned nodes: 14
TIME: 0 seconds
CLOCKS FOR SOLVE: 2.32905
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 5 	28 		0.9137931034482759 	0.9137931034482759 	5.955665024630542
Tree 0: [62,[5,[82,[88,[8,[1],[0]],[86,[0],[1]]],[50,[68,[0],[1]],[46,[0],[1]]]],[24,[50,[28,[0],[1]],[32,[0],[1]]],[64,[1],[74,[1],[0]]]]],[4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[12,[60,[0],[1]],[34,[0],[1]]]],[60,[78,[0],[88,[0],[1]]],[12,[1],[58,[0],[1]]]]]]

STreeD closed successfully!",9285,1449,30666,14
8,pystreed/build,./STreeD,root,accuracy,anneal,5,31,Success,0.811506033,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = anneal
	-test-file = 
	-time = 600
	-max-depth = 5
	-max-num-nodes = 31
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-multithreading = root
	-num-threads = 4
	-random-seed = 4
	-use-branch-caching = 0
	-use-dataset-caching = 1
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 1
	Terminal time: 5.60951
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.045022
	Reconstructing time: 0.00051
	Time joining children threads (computation included): 2.33123
Terminal calls: 9503
	Terminal 1 node: 9
	Terminal 2 node: 0
	Terminal 3 node: 9494
Cache statistics:
Cache optimal solution hits: 1509
Cache optimal solution misses: 30939
Pruned nodes: 22
TIME: 1 seconds
CLOCKS FOR SOLVE: 2.35308
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 5 	28 		0.9137931034482759 	0.9137931034482759 	5.955665024630542
Tree 0: [62,[5,[82,[88,[8,[1],[0]],[86,[0],[1]]],[50,[68,[0],[1]],[46,[0],[1]]]],[24,[50,[28,[0],[1]],[32,[0],[1]]],[64,[1],[74,[1],[0]]]]],[4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[12,[60,[0],[1]],[34,[0],[1]]]],[60,[78,[0],[88,[0],[1]]],[12,[1],[58,[0],[1]]]]]]

STreeD closed successfully!",9503,1509,30939,22
9,pystreed/build,./STreeD,root,accuracy,anneal,5,31,Success,0.783094406,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = anneal
	-test-file = 
	-time = 600
	-max-depth = 5
	-max-num-nodes = 31
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-multithreading = root
	-num-threads = 4
	-random-seed = 4
	-use-branch-caching = 0
	-use-dataset-caching = 1
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 1
	Terminal time: 5.5394
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.045129
	Reconstructing time: 0.000461
	Time joining children threads (computation included): 2.30311
Terminal calls: 9567
	Terminal 1 node: 9
	Terminal 2 node: 0
	Terminal 3 node: 9558
Cache statistics:
Cache optimal solution hits: 1479
Cache optimal solution misses: 31148
Pruned nodes: 18
TIME: 1 seconds
CLOCKS FOR SOLVE: 2.31869
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 5 	28 		0.9137931034482759 	0.9137931034482759 	5.955665024630542
Tree 0: [62,[5,[82,[88,[8,[1],[0]],[86,[0],[1]]],[50,[68,[0],[1]],[46,[0],[1]]]],[24,[50,[28,[0],[1]],[32,[0],[1]]],[64,[1],[74,[1],[0]]]]],[4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[12,[60,[0],[1]],[34,[0],[1]]]],[60,[78,[0],[88,[0],[1]]],[12,[1],[58,[0],[1]]]]]]

STreeD closed successfully!",9567,1479,31148,18
10,pystreed/build,./STreeD,root,accuracy,anneal,5,31,Success,0.783991098,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = anneal
	-test-file = 
	-time = 600
	-max-depth = 5
	-max-num-nodes = 31
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-multithreading = root
	-num-threads = 4
	-random-seed = 4
	-use-branch-caching = 0
	-use-dataset-caching = 1
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 1
	Terminal time: 5.63826
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.044045
	Reconstructing time: 0.000455
	Time joining children threads (computation included): 2.32833
Terminal calls: 9365
	Terminal 1 node: 9
	Terminal 2 node: 0
	Terminal 3 node: 9356
Cache statistics:
Cache optimal solution hits: 1451
Cache optimal solution misses: 30858
Pruned nodes: 13
TIME: 1 seconds
CLOCKS FOR SOLVE: 2.34969
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 5 	28 		0.9137931034482759 	0.9137931034482759 	5.955665024630542
Tree 0: [62,[5,[82,[88,[8,[1],[0]],[86,[0],[1]]],[50,[68,[0],[1]],[46,[0],[1]]]],[24,[50,[28,[0],[1]],[32,[0],[1]]],[64,[1],[74,[1],[0]]]]],[4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[12,[60,[0],[1]],[34,[0],[1]]]],[60,[78,[0],[88,[0],[1]]],[12,[1],[58,[0],[1]]]]]]

STreeD closed successfully!",9365,1451,30858,13
