run,path,program,task,file,max_depth,max_num_nodes,status,elapsed_time,output
1,pystreed/build,./STreeD,accuracy,../data/accuracy/anneal.csv,4,15,Success,0.33405590057373047,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = ../data/accuracy/anneal.csv
	-test-file = 
	-time = 3600
	-max-depth = 4
	-max-num-nodes = 15
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-random-seed = 4
	-use-branch-caching = 1
	-use-dataset-caching = 0
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 0
	Terminal time: 1.59113
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.012177
	Reconstructing time: 0.000405
	Time joining children threads (computation included): 0.803974
Terminal calls: 3928
	Terminal 1 node: 7
	Terminal 2 node: 0
	Terminal 3 node: 3921
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.811065
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 4 	14 		0.8879310344827587 	0.8879310344827587 	4.987684729064039
Tree 0: [4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[50,[30,[0],[1]],[34,[0],[1]]]],[60,[88,[62,[1],[0]],[78,[0],[1]]],[12,[1],[58,[0],[1]]]]]

STreeD closed successfully!"
2,pystreed/build,./STreeD,accuracy,../data/accuracy/anneal.csv,4,15,Success,0.3831160068511963,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = ../data/accuracy/anneal.csv
	-test-file = 
	-time = 3600
	-max-depth = 4
	-max-num-nodes = 15
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-random-seed = 4
	-use-branch-caching = 1
	-use-dataset-caching = 0
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 1
	Terminal time: 1.83912
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.015957
	Reconstructing time: 0.000399
	Time joining children threads (computation included): 0.879392
Terminal calls: 3790
	Terminal 1 node: 7
	Terminal 2 node: 0
	Terminal 3 node: 3783
TIME: 1 seconds
CLOCKS FOR SOLVE: 0.897664
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 4 	14 		0.8879310344827587 	0.8879310344827587 	4.987684729064039
Tree 0: [4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[50,[30,[0],[1]],[34,[0],[1]]]],[60,[88,[62,[1],[0]],[78,[0],[1]]],[12,[1],[58,[0],[1]]]]]

STreeD closed successfully!"
3,pystreed/build,./STreeD,accuracy,../data/accuracy/anneal.csv,4,15,Success,0.3907778263092041,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = ../data/accuracy/anneal.csv
	-test-file = 
	-time = 3600
	-max-depth = 4
	-max-num-nodes = 15
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-random-seed = 4
	-use-branch-caching = 1
	-use-dataset-caching = 0
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 0
	Terminal time: 2.17506
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.017935
	Reconstructing time: 0.000471
	Time joining children threads (computation included): 1.00789
Terminal calls: 3972
	Terminal 1 node: 7
	Terminal 2 node: 0
	Terminal 3 node: 3965
TIME: 0 seconds
CLOCKS FOR SOLVE: 1.01705
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 4 	14 		0.8879310344827587 	0.8879310344827587 	4.987684729064039
Tree 0: [4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[50,[30,[0],[1]],[34,[0],[1]]]],[60,[88,[62,[1],[0]],[78,[0],[1]]],[12,[1],[58,[0],[1]]]]]

STreeD closed successfully!"
4,pystreed/build,./STreeD,accuracy,../data/accuracy/anneal.csv,4,15,Success,0.40924859046936035,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = ../data/accuracy/anneal.csv
	-test-file = 
	-time = 3600
	-max-depth = 4
	-max-num-nodes = 15
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-random-seed = 4
	-use-branch-caching = 1
	-use-dataset-caching = 0
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 1
	Terminal time: 2.11609
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.015791
	Reconstructing time: 0.000405
	Time joining children threads (computation included): 0.982305
Terminal calls: 3865
	Terminal 1 node: 7
	Terminal 2 node: 0
	Terminal 3 node: 3858
TIME: 1 seconds
CLOCKS FOR SOLVE: 0.998592
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 4 	14 		0.8879310344827587 	0.8879310344827587 	4.987684729064039
Tree 0: [4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[50,[30,[0],[1]],[34,[0],[1]]]],[60,[88,[62,[1],[0]],[78,[0],[1]]],[12,[1],[58,[0],[1]]]]]

STreeD closed successfully!"
5,pystreed/build,./STreeD,accuracy,../data/accuracy/anneal.csv,4,15,Success,0.40372300148010254,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = ../data/accuracy/anneal.csv
	-test-file = 
	-time = 3600
	-max-depth = 4
	-max-num-nodes = 15
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-random-seed = 4
	-use-branch-caching = 1
	-use-dataset-caching = 0
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 0
	Terminal time: 1.87993
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.014841
	Reconstructing time: 0.000401
	Time joining children threads (computation included): 0.87555
Terminal calls: 3838
	Terminal 1 node: 7
	Terminal 2 node: 0
	Terminal 3 node: 3831
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.882968
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 4 	14 		0.8879310344827587 	0.8879310344827587 	4.987684729064039
Tree 0: [4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[50,[30,[0],[1]],[34,[0],[1]]]],[60,[88,[62,[1],[0]],[78,[0],[1]]],[12,[1],[58,[0],[1]]]]]

STreeD closed successfully!"
6,pystreed/build,./STreeD,accuracy,../data/accuracy/anneal.csv,4,15,Success,0.371091365814209,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = ../data/accuracy/anneal.csv
	-test-file = 
	-time = 3600
	-max-depth = 4
	-max-num-nodes = 15
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-random-seed = 4
	-use-branch-caching = 1
	-use-dataset-caching = 0
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 0
	Terminal time: 1.8995
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.016792
	Reconstructing time: 0.000406
	Time joining children threads (computation included): 0.89641
Terminal calls: 3735
	Terminal 1 node: 7
	Terminal 2 node: 0
	Terminal 3 node: 3728
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.91093
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 4 	14 		0.8879310344827587 	0.8879310344827587 	4.987684729064039
Tree 0: [4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[50,[30,[0],[1]],[34,[0],[1]]]],[60,[88,[62,[1],[0]],[78,[0],[1]]],[12,[1],[58,[0],[1]]]]]

STreeD closed successfully!"
7,pystreed/build,./STreeD,accuracy,../data/accuracy/anneal.csv,4,15,Success,0.38109278678894043,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = ../data/accuracy/anneal.csv
	-test-file = 
	-time = 3600
	-max-depth = 4
	-max-num-nodes = 15
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-random-seed = 4
	-use-branch-caching = 1
	-use-dataset-caching = 0
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 1
	Terminal time: 1.96252
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.013453
	Reconstructing time: 0.000405
	Time joining children threads (computation included): 0.895219
Terminal calls: 3823
	Terminal 1 node: 7
	Terminal 2 node: 0
	Terminal 3 node: 3816
TIME: 1 seconds
CLOCKS FOR SOLVE: 0.912309
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 4 	14 		0.8879310344827587 	0.8879310344827587 	4.987684729064039
Tree 0: [4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[50,[30,[0],[1]],[34,[0],[1]]]],[60,[88,[62,[1],[0]],[78,[0],[1]]],[12,[1],[58,[0],[1]]]]]

STreeD closed successfully!"
8,pystreed/build,./STreeD,accuracy,../data/accuracy/anneal.csv,4,15,Success,0.3530147075653076,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = ../data/accuracy/anneal.csv
	-test-file = 
	-time = 3600
	-max-depth = 4
	-max-num-nodes = 15
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-random-seed = 4
	-use-branch-caching = 1
	-use-dataset-caching = 0
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 0
	Terminal time: 1.96465
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.018144
	Reconstructing time: 0.000394
	Time joining children threads (computation included): 0.920646
Terminal calls: 3863
	Terminal 1 node: 7
	Terminal 2 node: 0
	Terminal 3 node: 3856
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.929228
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 4 	14 		0.8879310344827587 	0.8879310344827587 	4.987684729064039
Tree 0: [4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[50,[30,[0],[1]],[34,[0],[1]]]],[60,[88,[62,[1],[0]],[78,[0],[1]]],[12,[1],[58,[0],[1]]]]]

STreeD closed successfully!"
9,pystreed/build,./STreeD,accuracy,../data/accuracy/anneal.csv,4,15,Success,0.3622102737426758,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = ../data/accuracy/anneal.csv
	-test-file = 
	-time = 3600
	-max-depth = 4
	-max-num-nodes = 15
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-random-seed = 4
	-use-branch-caching = 1
	-use-dataset-caching = 0
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 0
	Terminal time: 1.84329
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.012766
	Reconstructing time: 0.000392
	Time joining children threads (computation included): 0.877723
Terminal calls: 3769
	Terminal 1 node: 7
	Terminal 2 node: 0
	Terminal 3 node: 3762
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.885368
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 4 	14 		0.8879310344827587 	0.8879310344827587 	4.987684729064039
Tree 0: [4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[50,[30,[0],[1]],[34,[0],[1]]]],[60,[88,[62,[1],[0]],[78,[0],[1]]],[12,[1],[58,[0],[1]]]]]

STreeD closed successfully!"
10,pystreed/build,./STreeD,accuracy,../data/accuracy/anneal.csv,4,15,Success,0.32990360260009766,"Main Parameters
	-task = accuracy
	-hyper-tune = 0
	-file = ../data/accuracy/anneal.csv
	-test-file = 
	-time = 3600
	-max-depth = 4
	-max-num-nodes = 15
	-max-num-features = 2147483647
	-num-instances = 2147483647
	-num-extra-cols = 0
	-verbose = 1
	-all-trees = 0
	-train-test-split = 0
	-stratify = 1
	-min-leaf-node-size = 1
Algorithmic Parameters
	-use-terminal-solver = 1
	-use-similarity-lower-bound = 1
	-use-upper-bound = 1
	-use-lower-bound = 1
	-use-task-lower-bound = 1
	-upper-bound = 2.14748e+09
	-feature-ordering = in-order
	-random-seed = 4
	-use-branch-caching = 1
	-use-dataset-caching = 0
	-duplicate-factor = 1
Objective Parameters
	-cost-complexity = 0.01
	-lasso-penalty = 0
	-beta = 0.1
	-tau = 0.05
Task-specific Parameters
	-cost-file = 
	-ppg-teacher-method = DM
	-discrimination-limit = 1
	-regression-bound = equivalent
	-confidence-coefficient = 0.25
Reading data...
Optimal tree computation started!
Total time elapsed: 0
	Terminal time: 1.39786
	Merging time: 0
	LB Merging time: 0
	UB Substracting time: 0.013884
	Reconstructing time: 0.000399
	Time joining children threads (computation included): 0.699213
Terminal calls: 3294
	Terminal 1 node: 7
	Terminal 2 node: 0
	Terminal 3 node: 3287
TIME: 0 seconds
CLOCKS FOR SOLVE: 0.707563
Solutions: 1 	D	N		Train 		Test		Avg. Path length
Solution 0: 	 4 	14 		0.8879310344827587 	0.8879310344827587 	4.987684729064039
Tree 0: [4,[5,[11,[42,[0],[1]],[58,[0],[1]]],[50,[30,[0],[1]],[34,[0],[1]]]],[60,[88,[62,[1],[0]],[78,[0],[1]]],[12,[1],[58,[0],[1]]]]]

STreeD closed successfully!"
