file,multithreading,num_threads,max_depth,max_num_nodes,elapsed_time_arith_mean,elapsed_time_geom_mean,terminal_calls_arith_mean,terminal_calls_geom_mean,cache_hits_arith_mean,cache_hits_geom_mean,cache_misses_arith_mean,cache_misses_geom_mean
anneal,none,1,4,15,0.273320818,0.273259363,812,812,73,73,2360,2360
anneal,none,1,5,24,5.376112366,5.376006284,18387,18387,15445,15445,73899,73899
anneal,root,2,4,15,0.213455939,0.213296629,810,810,75,75,2444,2444
anneal,root,2,5,24,3.670779395,3.670095989,18755,18755,15154,15153,82395,82395
anneal,root,3,4,15,0.173221588,0.172961132,824,824,85,85,2474,2474
anneal,root,3,5,24,2.717022705,2.715519981,18204,18204,14585,14584,80216,80216
anneal,root,4,4,15,0.171955872,0.171652231,866,866,87,87,2538,2538
anneal,root,4,5,24,2.668903804,2.668185514,20360,20360,15187,15187,85274,85273
audiology,none,1,4,15,0.465201545,0.465143673,1164,1164,1,1,4528,4528
audiology,none,1,5,24,0.100363326,0.100072112,17,17,0,0,41,41
audiology,root,2,4,15,0.304726744,0.303573322,1122,1122,1,1,4491,4491
audiology,root,2,5,24,0.620517588,0.620475661,1823,1823,48,48,10716,10716
audiology,root,3,4,15,0.260684037,0.259896523,1139,1138,2,2,4538,4538
audiology,root,3,5,24,0.770260835,0.769102705,3697,3697,65,65,21884,21884
audiology,root,4,4,15,0.250483441,0.250252675,1102,1101,1,1,4361,4360
audiology,root,4,5,24,0.889166498,0.88882462,5478,5478,142,142,32179,32179
breast-wisconsin,none,1,4,15,0.747063446,0.746876364,1519,1519,95,95,4117,4117
breast-wisconsin,none,1,5,24,9.052577186,9.03298108,23566,23566,11240,11240,81661,81661
breast-wisconsin,root,2,4,15,0.489549899,0.488849563,1565,1565,84,84,4334,4334
breast-wisconsin,root,2,5,24,7.092310524,7.08370464,32845,32845,13898,13898,126650,126650
breast-wisconsin,root,3,4,15,0.417236018,0.416584158,1561,1561,85,85,4252,4252
breast-wisconsin,root,3,5,24,4.621782541,4.621563793,25022,25022,12017,12016,86376,86375
breast-wisconsin,root,4,4,15,0.419445515,0.41914769,1613,1613,91,91,4371,4371
breast-wisconsin,root,4,5,24,4.264806032,4.264290366,28964,28962,11933,11931,105780,105771
diabetes,none,1,4,15,1.576693988,1.576650877,4411,4411,562,562,9138,9138
diabetes,none,1,5,24,68.06958842,68.05687505,171567,171567,286534,286534,470716,470716
diabetes,root,2,4,15,1.018788266,1.01724591,4453,4453,543,543,9336,9336
diabetes,root,2,5,24,42.31211581,42.27512592,172025,172025,283095,283094,535410,535409
diabetes,root,3,4,15,0.860170484,0.859756599,4394,4394,513,513,9263,9263
diabetes,root,3,5,24,32.79007897,32.76888837,168676,168676,268050,268049,527296,527296
diabetes,root,4,4,15,0.761774731,0.761624904,4524,4523,504,504,9516,9516
diabetes,root,4,5,24,27.8837285,27.85619151,172869,172869,279184,279184,534716,534715
fico-binary,none,1,4,15,0.38777771,0.37548703,504,504,82,82,1042,1042
fico-binary,none,1,5,24,3.586637998,3.58637698,5876,5876,4696,4696,15139,15139
fico-binary,root,2,4,15,0.265242052,0.264645701,505,505,85,85,1094,1094
fico-binary,root,2,5,24,2.055942345,2.053903731,5910,5910,4715,4715,18179,18179
fico-binary,root,3,4,15,0.238058639,0.237776111,510,510,106,106,1105,1105
